Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Payment Method,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Preferred Payment Method,Frequency of Purchases
993,46,Male,Jacket,Outerwear,99,Louisiana,M,Gray,Winter,4.6,Yes,Credit Card,Express,Yes,Yes,50,Debit Card,Weekly
998,64,Male,Pants,Clothing,30,Kentucky,M,Cyan,Spring,3.6,Yes,Debit Card,Express,Yes,Yes,31,Cash,Fortnightly
1007,21,Male,Pants,Clothing,83,Michigan,S,Lavender,Summer,4.5,Yes,Credit Card,Next Day Air,Yes,Yes,50,Venmo,Quarterly
1010,39,Male,Hoodie,Clothing,30,Louisiana,M,Silver,Summer,3.1,Yes,Bank Transfer,Express,Yes,Yes,11,Venmo,Annually
1011,54,Male,Jeans,Clothing,24,South Dakota,XL,Gray,Spring,4.7,Yes,PayPal,2-Day Shipping,Yes,Yes,37,Credit Card,Fortnightly
1018,21,Male,Jacket,Outerwear,53,Oklahoma,L,Orange,Fall,2.5,Yes,Cash,Express,Yes,Yes,14,Credit Card,Annually
1020,32,Male,Shirt,Clothing,76,Kentucky,S,Beige,Winter,2.8,Yes,Debit Card,Standard,Yes,Yes,33,Venmo,Bi-Weekly
1025,28,Male,T-shirt,Clothing,66,Pennsylvania,M,Purple,Summer,3.5,Yes,Debit Card,Free Shipping,Yes,Yes,18,Venmo,Quarterly
1026,60,Male,Shirt,Clothing,84,Nebraska,M,Olive,Winter,4.9,Yes,Bank Transfer,Free Shipping,Yes,Yes,15,Credit Card,Annually
1029,45,Male,Hoodie,Clothing,36,Nebraska,S,Lavender,Summer,3.7,Yes,Venmo,Standard,Yes,Yes,4,Cash,Fortnightly
1034,19,Male,Pants,Clothing,52,Montana,S,Silver,Spring,4.6,Yes,Credit Card,Free Shipping,Yes,Yes,41,Bank Transfer,Quarterly
1036,61,Male,Blouse,Clothing,89,Georgia,M,Brown,Fall,2.8,Yes,Venmo,Express,Yes,Yes,32,Venmo,Annually
1039,41,Male,Pants,Clothing,74,Nebraska,XL,Cyan,Fall,3.0,Yes,Bank Transfer,Express,Yes,Yes,3,Bank Transfer,Weekly
1041,68,Male,Jeans,Clothing,22,North Carolina,S,Magenta,Fall,4.0,Yes,Venmo,Next Day Air,Yes,Yes,7,Cash,Fortnightly
1042,36,Male,Shirt,Clothing,25,Minnesota,M,Orange,Summer,4.9,Yes,Venmo,Next Day Air,Yes,Yes,11,Cash,Fortnightly
1044,28,Male,Jeans,Clothing,76,Hawaii,M,Green,Spring,3.3,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,28,Debit Card,Fortnightly
1045,39,Male,Jeans,Clothing,30,Oregon,L,Teal,Summer,4.4,Yes,Credit Card,Next Day Air,Yes,Yes,17,Bank Transfer,Every 3 Months
1046,54,Male,Sweater,Clothing,79,New Mexico,L,Black,Fall,3.5,Yes,Cash,2-Day Shipping,Yes,Yes,11,PayPal,Bi-Weekly
1054,59,Male,Blouse,Clothing,70,Kansas,M,Blue,Spring,3.3,No,Cash,2-Day Shipping,Yes,Yes,10,Debit Card,Bi-Weekly
1055,18,Male,Shorts,Clothing,96,Arkansas,L,Cyan,Winter,4.9,No,Debit Card,Express,Yes,Yes,48,PayPal,Quarterly
1056,70,Male,Jacket,Outerwear,27,Massachusetts,M,Orange,Spring,3.3,No,PayPal,Next Day Air,Yes,Yes,24,Debit Card,Annually
1057,20,Male,Sweater,Clothing,64,Idaho,L,Black,Winter,2.9,No,Debit Card,2-Day Shipping,Yes,Yes,42,Venmo,Fortnightly
1058,65,Male,Jacket,Outerwear,23,Wisconsin,S,Maroon,Spring,4.4,No,Bank Transfer,2-Day Shipping,Yes,Yes,20,Credit Card,Weekly
1060,22,Male,Jacket,Outerwear,34,North Carolina,M,Beige,Winter,2.5,No,Venmo,Standard,Yes,Yes,25,Debit Card,Monthly
1061,27,Male,Sweater,Clothing,35,Iowa,S,Gray,Summer,2.6,No,PayPal,Next Day Air,Yes,Yes,21,Debit Card,Every 3 Months
1064,62,Male,Hoodie,Clothing,29,Alabama,S,Indigo,Summer,3.3,No,Bank Transfer,Free Shipping,Yes,Yes,35,Cash,Monthly
1066,59,Male,T-shirt,Clothing,20,Alabama,XL,Blue,Spring,4.1,No,Cash,Store Pickup,Yes,Yes,3,PayPal,Every 3 Months
1069,55,Male,Shirt,Clothing,94,Wyoming,M,Olive,Fall,2.5,No,Bank Transfer,Standard,Yes,Yes,47,Credit Card,Weekly
1070,38,Male,Skirt,Clothing,81,Maryland,XL,White,Fall,4.3,No,Credit Card,Next Day Air,Yes,Yes,33,Venmo,Every 3 Months
1073,48,Male,Shorts,Clothing,92,Idaho,L,Gold,Fall,3.5,No,Bank Transfer,Express,Yes,Yes,34,Debit Card,Fortnightly
1078,58,Male,Jacket,Outerwear,28,West Virginia,M,Pink,Winter,3.7,No,Cash,Standard,Yes,Yes,5,PayPal,Quarterly
1079,37,Male,Sweater,Clothing,59,Arizona,M,Silver,Fall,4.4,No,Cash,Express,Yes,Yes,49,Credit Card,Fortnightly
1085,34,Male,T-shirt,Clothing,36,Arkansas,S,Purple,Fall,4.1,No,Credit Card,Next Day Air,Yes,Yes,48,Cash,Quarterly
1088,45,Male,Jeans,Clothing,71,West Virginia,S,White,Winter,3.4,No,PayPal,Next Day Air,Yes,Yes,7,Bank Transfer,Monthly
1089,49,Male,Pants,Clothing,21,Louisiana,M,Turquoise,Winter,2.7,No,Bank Transfer,Free Shipping,Yes,Yes,2,PayPal,Weekly
1092,44,Male,Sweater,Clothing,80,North Carolina,L,Lavender,Spring,4.7,No,Cash,Store Pickup,Yes,Yes,6,Credit Card,Fortnightly
1100,19,Male,Sweater,Clothing,73,North Carolina,M,Peach,Fall,2.6,No,Cash,Next Day Air,Yes,Yes,45,Bank Transfer,Fortnightly
1101,50,Male,Pants,Clothing,28,Nevada,L,Gold,Spring,4.4,No,Debit Card,Express,Yes,Yes,2,Credit Card,Weekly
1103,52,Male,Sweater,Clothing,83,Texas,M,Peach,Fall,2.9,No,Credit Card,Express,Yes,Yes,24,Cash,Fortnightly
1104,35,Male,Hoodie,Clothing,23,Tennessee,S,Charcoal,Spring,4.3,No,Debit Card,Free Shipping,Yes,Yes,8,Debit Card,Bi-Weekly
1106,33,Male,T-shirt,Clothing,83,Massachusetts,S,Olive,Spring,3.0,No,Credit Card,Next Day Air,Yes,Yes,6,Venmo,Every 3 Months
1107,52,Male,Skirt,Clothing,96,Minnesota,L,Violet,Winter,3.6,No,Credit Card,Store Pickup,Yes,Yes,12,Venmo,Fortnightly
1109,27,Male,Shorts,Clothing,25,Nebraska,M,Teal,Fall,2.8,No,Venmo,Standard,Yes,Yes,50,Cash,Fortnightly
1110,66,Male,Hoodie,Clothing,97,Oklahoma,L,Violet,Winter,4.9,No,Debit Card,Next Day Air,Yes,Yes,2,Venmo,Weekly
1111,28,Male,Hoodie,Clothing,61,Texas,L,Cyan,Fall,3.0,No,Debit Card,Standard,Yes,Yes,31,Cash,Bi-Weekly
1113,69,Male,Hoodie,Clothing,67,Washington,XL,Pink,Spring,4.6,No,Credit Card,Free Shipping,Yes,Yes,32,PayPal,Quarterly
1115,55,Male,Skirt,Clothing,25,New Hampshire,L,Violet,Fall,2.6,No,Cash,Next Day Air,Yes,Yes,47,Bank Transfer,Every 3 Months
1122,63,Male,T-shirt,Clothing,58,Florida,XL,Peach,Fall,3.2,No,Cash,Express,Yes,Yes,25,Cash,Quarterly
1125,42,Male,Sweater,Clothing,20,Iowa,M,Orange,Spring,4.9,No,Debit Card,Express,Yes,Yes,40,Cash,Quarterly
1128,50,Male,Shirt,Clothing,53,Delaware,XL,Maroon,Spring,4.8,No,Venmo,Store Pickup,Yes,Yes,22,Debit Card,Monthly
1130,37,Male,Hoodie,Clothing,65,New Hampshire,XL,White,Winter,4.7,No,Credit Card,Express,Yes,Yes,46,Venmo,Fortnightly
1132,67,Male,Shirt,Clothing,73,Illinois,M,Black,Spring,3.7,No,Credit Card,Express,Yes,Yes,20,Bank Transfer,Monthly
1133,50,Male,Hoodie,Clothing,98,North Carolina,S,Teal,Spring,4.3,No,PayPal,Store Pickup,Yes,Yes,25,Cash,Fortnightly
1135,62,Male,T-shirt,Clothing,81,Wisconsin,M,Brown,Summer,4.6,No,Bank Transfer,Express,Yes,Yes,2,Venmo,Every 3 Months
1136,65,Male,Skirt,Clothing,90,Massachusetts,L,Peach,Winter,3.6,No,PayPal,2-Day Shipping,Yes,Yes,32,Bank Transfer,Quarterly
1138,46,Male,Shirt,Clothing,91,New Mexico,XL,Pink,Winter,2.8,No,Credit Card,2-Day Shipping,Yes,Yes,16,Bank Transfer,Every 3 Months
1139,18,Male,Pants,Clothing,36,Iowa,M,Purple,Summer,4.7,No,Venmo,Express,Yes,Yes,32,Venmo,Fortnightly
1141,31,Male,Jeans,Clothing,39,Maryland,M,White,Winter,2.6,No,Cash,Store Pickup,Yes,Yes,6,Credit Card,Every 3 Months
1143,69,Male,T-shirt,Clothing,76,Ohio,L,Green,Spring,3.5,No,Cash,Store Pickup,Yes,Yes,27,Venmo,Bi-Weekly
1145,41,Male,Jeans,Clothing,54,South Carolina,S,Indigo,Fall,4.4,No,PayPal,2-Day Shipping,Yes,Yes,25,Bank Transfer,Fortnightly
1149,34,Male,Pants,Clothing,66,Florida,M,Violet,Spring,2.6,No,Bank Transfer,Store Pickup,Yes,Yes,10,PayPal,Fortnightly
1152,41,Male,Blouse,Clothing,86,Ohio,M,Gray,Spring,4.2,No,Bank Transfer,Express,Yes,Yes,24,Credit Card,Weekly
1154,27,Male,Shirt,Clothing,41,Idaho,M,Pink,Summer,4.0,No,PayPal,Free Shipping,Yes,Yes,6,Bank Transfer,Quarterly
1156,67,Male,T-shirt,Clothing,53,Tennessee,S,Red,Fall,2.6,No,Debit Card,Express,Yes,Yes,47,PayPal,Quarterly
1162,63,Male,Shorts,Clothing,52,Oklahoma,S,Orange,Fall,3.1,No,Bank Transfer,2-Day Shipping,Yes,Yes,37,PayPal,Monthly
1164,26,Male,Pants,Clothing,56,Tennessee,L,White,Summer,3.0,No,Credit Card,2-Day Shipping,Yes,Yes,24,Debit Card,Monthly
1166,51,Male,T-shirt,Clothing,64,Wisconsin,M,Silver,Winter,2.9,No,Cash,Next Day Air,Yes,Yes,21,Venmo,Every 3 Months
1171,57,Male,Skirt,Clothing,62,Illinois,S,Red,Spring,3.2,No,Bank Transfer,Express,Yes,Yes,33,Cash,Bi-Weekly
1178,54,Male,Skirt,Clothing,21,Iowa,M,Black,Spring,4.8,No,Cash,Standard,Yes,Yes,24,Debit Card,Monthly
1180,20,Male,T-shirt,Clothing,33,Indiana,M,Blue,Summer,2.8,No,Debit Card,Free Shipping,Yes,Yes,44,Bank Transfer,Annually
1181,23,Male,Skirt,Clothing,23,Oregon,S,Beige,Spring,4.9,No,Cash,Standard,Yes,Yes,34,Cash,Monthly
1182,61,Male,Shorts,Clothing,96,New York,L,Teal,Summer,3.5,No,Cash,Free Shipping,Yes,Yes,43,Bank Transfer,Quarterly
1184,23,Male,Pants,Clothing,39,Louisiana,M,Yellow,Spring,4.5,No,PayPal,2-Day Shipping,Yes,Yes,4,Credit Card,Weekly
1186,47,Male,Jeans,Clothing,64,Maine,M,Magenta,Spring,3.9,No,Debit Card,Standard,Yes,Yes,29,Credit Card,Monthly
1187,63,Male,Jeans,Clothing,68,Indiana,M,Beige,Summer,4.1,No,Cash,2-Day Shipping,Yes,Yes,27,Credit Card,Annually
1189,68,Male,Blouse,Clothing,29,Mississippi,M,Magenta,Summer,3.3,No,Credit Card,Next Day Air,Yes,Yes,11,Credit Card,Weekly
1190,64,Male,Shirt,Clothing,97,Arkansas,XL,Teal,Summer,4.9,No,Venmo,Free Shipping,Yes,Yes,28,Debit Card,Annually
1191,62,Male,Shirt,Clothing,45,South Carolina,M,Orange,Winter,4.3,No,Bank Transfer,Next Day Air,Yes,Yes,31,Credit Card,Weekly
1192,34,Male,T-shirt,Clothing,70,Indiana,L,Charcoal,Winter,4.1,No,Debit Card,Free Shipping,Yes,Yes,50,Venmo,Quarterly
1194,40,Male,Jacket,Outerwear,55,Alaska,L,Pink,Fall,5.0,No,Venmo,2-Day Shipping,Yes,Yes,18,Credit Card,Fortnightly
1195,50,Male,Hoodie,Clothing,46,New York,S,Teal,Winter,3.1,No,Debit Card,2-Day Shipping,Yes,Yes,6,Credit Card,Fortnightly
1210,41,Male,Pants,Clothing,62,Pennsylvania,M,Blue,Winter,3.8,No,PayPal,Next Day Air,Yes,Yes,16,Bank Transfer,Monthly
1212,23,Male,Hoodie,Clothing,94,Oklahoma,M,Green,Spring,4.6,No,Venmo,Store Pickup,Yes,Yes,14,Venmo,Every 3 Months
1215,30,Male,Jacket,Outerwear,81,Vermont,M,Blue,Fall,3.8,No,Cash,Free Shipping,Yes,Yes,5,Cash,Every 3 Months
1216,66,Male,Blouse,Clothing,20,Oregon,L,Pink,Winter,2.6,No,Cash,2-Day Shipping,Yes,Yes,15,Credit Card,Every 3 Months
1217,62,Male,Pants,Clothing,32,Utah,XL,Lavender,Summer,3.7,No,PayPal,Free Shipping,Yes,Yes,3,Venmo,Every 3 Months
1220,19,Male,Sweater,Clothing,23,Vermont,M,Gold,Winter,2.5,No,Bank Transfer,Next Day Air,Yes,Yes,35,Credit Card,Bi-Weekly
1223,58,Male,Jeans,Clothing,69,Indiana,L,Magenta,Fall,3.4,No,Bank Transfer,Store Pickup,Yes,Yes,27,Bank Transfer,Annually
1224,69,Male,Pants,Clothing,24,Kansas,L,Red,Winter,3.9,No,Credit Card,Free Shipping,Yes,Yes,21,Bank Transfer,Weekly
1225,62,Male,Shorts,Clothing,50,Illinois,M,Yellow,Summer,3.7,No,Bank Transfer,Store Pickup,Yes,Yes,18,Venmo,Weekly
1228,27,Male,Blouse,Clothing,37,Illinois,L,Yellow,Spring,4.9,No,Venmo,Store Pickup,Yes,Yes,19,Bank Transfer,Bi-Weekly
1229,55,Male,Jacket,Outerwear,55,Indiana,S,Yellow,Winter,3.9,No,Venmo,Express,Yes,Yes,1,Cash,Annually
1234,46,Male,Pants,Clothing,73,Utah,L,Beige,Winter,3.5,No,Cash,Next Day Air,Yes,Yes,40,Venmo,Every 3 Months
1236,23,Male,Sweater,Clothing,22,Idaho,M,Red,Spring,3.0,No,Bank Transfer,Store Pickup,Yes,Yes,46,PayPal,Every 3 Months
1239,55,Male,Pants,Clothing,77,Wyoming,M,Violet,Winter,3.7,No,PayPal,Express,Yes,Yes,3,Venmo,Fortnightly
1242,58,Male,Hoodie,Clothing,51,Hawaii,XL,Pink,Winter,3.1,No,Cash,Express,Yes,Yes,34,Credit Card,Weekly
1244,25,Male,Blouse,Clothing,23,New Hampshire,S,Pink,Spring,3.0,No,PayPal,Store Pickup,Yes,Yes,22,Debit Card,Annually
1247,27,Male,Hoodie,Clothing,60,Louisiana,M,Charcoal,Winter,2.7,No,Credit Card,Standard,Yes,Yes,27,Cash,Monthly
1248,65,Male,T-shirt,Clothing,99,Virginia,M,Charcoal,Spring,3.5,No,Bank Transfer,Express,Yes,Yes,18,Venmo,Bi-Weekly
1251,52,Male,Jeans,Clothing,26,New Hampshire,XL,Purple,Winter,4.1,No,Cash,Free Shipping,Yes,Yes,24,Cash,Monthly
1252,56,Male,Shorts,Clothing,86,Indiana,XL,Orange,Spring,5.0,No,Debit Card,Next Day Air,Yes,Yes,43,Credit Card,Monthly
1260,68,Male,Skirt,Clothing,64,Minnesota,M,Turquoise,Fall,3.9,No,Bank Transfer,Standard,Yes,Yes,45,Credit Card,Monthly
1261,63,Male,Shirt,Clothing,93,Virginia,XL,Green,Spring,4.1,No,Venmo,Store Pickup,Yes,Yes,30,Debit Card,Quarterly
1262,20,Male,Shirt,Clothing,29,Connecticut,L,Maroon,Summer,2.8,No,Venmo,Next Day Air,Yes,Yes,2,Credit Card,Fortnightly
1264,41,Male,Hoodie,Clothing,70,Delaware,L,Brown,Winter,4.6,No,Bank Transfer,2-Day Shipping,Yes,Yes,1,Credit Card,Bi-Weekly
1265,52,Male,Sweater,Clothing,92,Vermont,S,Blue,Winter,2.5,No,Venmo,Next Day Air,Yes,Yes,1,Venmo,Bi-Weekly
1266,32,Male,Shirt,Clothing,79,Louisiana,M,Lavender,Spring,2.7,No,Bank Transfer,Next Day Air,Yes,Yes,27,Bank Transfer,Weekly
1267,20,Male,Blouse,Clothing,31,North Dakota,M,Peach,Fall,4.0,No,Cash,Standard,Yes,Yes,14,Debit Card,Every 3 Months
1268,47,Male,T-shirt,Clothing,83,Oregon,S,Gray,Spring,2.7,No,Credit Card,Standard,Yes,Yes,41,Cash,Weekly
1269,23,Male,Jacket,Outerwear,88,Idaho,XL,Charcoal,Winter,2.9,No,Venmo,Next Day Air,Yes,Yes,25,Debit Card,Bi-Weekly
1271,67,Male,Hoodie,Clothing,98,West Virginia,M,Green,Fall,3.3,No,Cash,Standard,Yes,Yes,20,Cash,Annually
1274,41,Male,Jeans,Clothing,29,Mississippi,L,Silver,Spring,4.1,No,Cash,Next Day Air,Yes,Yes,32,Credit Card,Every 3 Months
1276,55,Male,Sweater,Clothing,32,Arkansas,S,Turquoise,Fall,4.5,No,PayPal,Standard,Yes,Yes,1,PayPal,Monthly
1278,19,Male,Blouse,Clothing,97,Rhode Island,L,Green,Spring,5.0,No,Debit Card,Express,Yes,Yes,5,Venmo,Quarterly
1279,28,Male,Shorts,Clothing,98,Utah,M,Violet,Fall,2.8,No,Credit Card,Next Day Air,Yes,Yes,31,Venmo,Fortnightly
1280,63,Male,Hoodie,Clothing,56,Maryland,L,Charcoal,Fall,3.7,No,PayPal,Express,Yes,Yes,18,Debit Card,Annually
1281,30,Male,Pants,Clothing,78,Georgia,L,White,Winter,4.4,No,PayPal,2-Day Shipping,Yes,Yes,39,Venmo,Every 3 Months
1283,24,Male,Shirt,Clothing,68,New Hampshire,L,Violet,Winter,3.0,No,Debit Card,Free Shipping,Yes,Yes,20,Venmo,Monthly
1284,69,Male,Shirt,Clothing,94,Oregon,M,Violet,Winter,3.9,No,Credit Card,2-Day Shipping,Yes,Yes,23,Debit Card,Every 3 Months
1288,24,Male,Jeans,Clothing,28,Utah,XL,Blue,Winter,3.4,No,Venmo,Standard,Yes,Yes,20,PayPal,Monthly
1290,35,Male,Jacket,Outerwear,24,New Hampshire,M,Red,Fall,2.9,No,Debit Card,Next Day Air,Yes,Yes,10,PayPal,Weekly
1291,67,Male,Skirt,Clothing,35,Maryland,M,Indigo,Spring,3.4,No,Cash,Free Shipping,Yes,Yes,3,PayPal,Annually
1294,23,Male,Sweater,Clothing,74,Florida,XL,Yellow,Fall,4.1,No,Bank Transfer,Standard,Yes,Yes,30,Debit Card,Annually
1295,27,Male,Shirt,Clothing,64,Texas,M,Silver,Summer,4.5,No,Credit Card,Standard,Yes,Yes,21,Cash,Every 3 Months
1297,48,Male,Jeans,Clothing,29,South Dakota,S,Teal,Spring,2.8,No,PayPal,Express,Yes,Yes,16,Cash,Bi-Weekly
1299,29,Male,Pants,Clothing,81,Indiana,S,Indigo,Summer,3.0,No,Cash,Free Shipping,Yes,Yes,14,Bank Transfer,Fortnightly
1301,67,Male,T-shirt,Clothing,100,West Virginia,M,Charcoal,Spring,4.5,No,Cash,Next Day Air,Yes,Yes,47,Credit Card,Every 3 Months
1302,42,Male,Shirt,Clothing,54,Maine,M,Orange,Fall,5.0,No,Venmo,Express,Yes,Yes,21,Debit Card,Weekly
1304,34,Male,Blouse,Clothing,32,New York,L,Silver,Summer,3.1,No,Venmo,Next Day Air,Yes,Yes,10,Credit Card,Annually
1306,31,Male,Pants,Clothing,56,Mississippi,XL,Peach,Spring,4.5,No,Venmo,Express,Yes,Yes,2,PayPal,Every 3 Months
1307,54,Male,Sweater,Clothing,33,Alaska,L,Brown,Winter,4.5,No,Cash,Next Day Air,Yes,Yes,40,PayPal,Annually
1310,32,Male,Blouse,Clothing,21,Hawaii,L,Lavender,Summer,4.7,No,Bank Transfer,Store Pickup,Yes,Yes,41,Cash,Quarterly
1311,43,Male,Hoodie,Clothing,59,South Carolina,L,Brown,Winter,3.1,No,Credit Card,Store Pickup,Yes,Yes,38,Credit Card,Every 3 Months
1313,66,Male,T-shirt,Clothing,79,Missouri,M,Violet,Winter,3.0,No,Venmo,Store Pickup,Yes,Yes,19,Bank Transfer,Monthly
1316,56,Male,Shorts,Clothing,75,Mississippi,L,Green,Spring,4.2,No,PayPal,2-Day Shipping,Yes,Yes,29,Debit Card,Quarterly
1318,28,Male,Pants,Clothing,43,Kentucky,M,Green,Spring,2.8,No,Credit Card,Free Shipping,Yes,Yes,19,Cash,Monthly
1319,52,Male,Shorts,Clothing,93,Connecticut,M,Maroon,Spring,2.7,No,Venmo,Express,Yes,Yes,19,Credit Card,Bi-Weekly
1322,59,Male,T-shirt,Clothing,84,Missouri,L,Orange,Winter,3.7,No,Credit Card,Express,Yes,Yes,45,Bank Transfer,Every 3 Months
1323,23,Male,Pants,Clothing,74,Washington,M,Violet,Winter,4.0,No,Credit Card,Next Day Air,Yes,Yes,17,Bank Transfer,Quarterly
1324,58,Male,Shorts,Clothing,62,New York,M,Yellow,Spring,4.6,No,Cash,Standard,Yes,Yes,15,Debit Card,Every 3 Months
1329,37,Male,Sweater,Clothing,97,Rhode Island,M,Orange,Winter,3.7,No,Debit Card,Standard,Yes,Yes,40,Bank Transfer,Weekly
1333,66,Male,Hoodie,Clothing,60,Alaska,S,Gold,Spring,4.3,No,Bank Transfer,Store Pickup,Yes,Yes,16,Bank Transfer,Quarterly
1334,29,Male,Pants,Clothing,69,Idaho,M,Lavender,Winter,2.7,No,Cash,Next Day Air,Yes,Yes,9,Bank Transfer,Quarterly
1338,37,Male,Sweater,Clothing,86,Tennessee,L,Silver,Spring,3.4,No,Venmo,Express,Yes,Yes,19,Credit Card,Bi-Weekly
1342,26,Male,Hoodie,Clothing,27,Rhode Island,XL,Yellow,Fall,2.9,No,Debit Card,Standard,Yes,Yes,31,Bank Transfer,Quarterly
1345,56,Male,T-shirt,Clothing,37,New York,S,Violet,Fall,4.9,No,Credit Card,Next Day Air,Yes,Yes,14,Cash,Annually
1347,44,Male,Hoodie,Clothing,91,Mississippi,L,White,Winter,3.0,No,Credit Card,Free Shipping,Yes,Yes,15,Venmo,Bi-Weekly
1348,44,Male,Sweater,Clothing,95,Vermont,M,Cyan,Summer,3.9,No,Venmo,2-Day Shipping,Yes,Yes,47,Bank Transfer,Monthly
1354,39,Male,Pants,Clothing,83,Oregon,M,Teal,Winter,4.1,No,Bank Transfer,Next Day Air,Yes,Yes,4,Cash,Every 3 Months
1356,59,Male,Shorts,Clothing,91,Florida,M,Blue,Summer,3.0,No,Venmo,2-Day Shipping,Yes,Yes,50,PayPal,Bi-Weekly
1357,49,Male,Jacket,Outerwear,61,Indiana,M,Cyan,Spring,4.0,No,Debit Card,Free Shipping,Yes,Yes,34,Bank Transfer,Annually
1360,27,Male,Hoodie,Clothing,68,North Carolina,S,Cyan,Winter,4.3,No,Debit Card,Store Pickup,Yes,Yes,26,Bank Transfer,Fortnightly
1361,56,Male,Skirt,Clothing,43,Alabama,L,Black,Fall,2.8,No,Bank Transfer,Express,Yes,Yes,4,Bank Transfer,Annually
1364,36,Male,Blouse,Clothing,90,Wisconsin,L,Red,Summer,4.0,No,Bank Transfer,Express,Yes,Yes,47,PayPal,Quarterly
1369,21,Male,Shirt,Clothing,36,Wisconsin,L,Orange,Summer,4.9,No,Venmo,Express,Yes,Yes,2,Cash,Weekly
1372,40,Male,Pants,Clothing,64,Mississippi,M,Charcoal,Spring,2.8,No,PayPal,Store Pickup,Yes,Yes,42,Credit Card,Monthly
1373,64,Male,Blouse,Clothing,61,Michigan,M,Gray,Fall,4.0,No,Credit Card,2-Day Shipping,Yes,Yes,44,PayPal,Bi-Weekly
1379,37,Male,Jacket,Outerwear,49,Kentucky,XL,Lavender,Fall,3.6,No,PayPal,Free Shipping,Yes,Yes,24,Venmo,Weekly
1380,21,Male,T-shirt,Clothing,64,Minnesota,L,Purple,Fall,2.8,No,Venmo,2-Day Shipping,Yes,Yes,38,Venmo,Bi-Weekly
1383,68,Male,Jacket,Outerwear,55,Michigan,L,Brown,Winter,4.8,No,Venmo,Express,Yes,Yes,16,Bank Transfer,Quarterly
1387,68,Male,Jacket,Outerwear,56,Oregon,M,Silver,Fall,4.0,No,Bank Transfer,Next Day Air,Yes,Yes,4,Debit Card,Quarterly
1388,21,Male,Blouse,Clothing,85,Maryland,M,Gold,Winter,3.8,No,Credit Card,Standard,Yes,Yes,20,Credit Card,Monthly
1392,53,Male,Blouse,Clothing,29,Mississippi,S,White,Winter,3.6,No,Bank Transfer,Express,Yes,Yes,38,Credit Card,Annually
1397,37,Male,Pants,Clothing,30,Wisconsin,XL,Lavender,Winter,3.0,No,Cash,Next Day Air,Yes,Yes,49,Debit Card,Monthly
1407,32,Male,Shirt,Clothing,46,Washington,L,Turquoise,Spring,3.6,No,Venmo,Express,Yes,Yes,15,Debit Card,Monthly
1409,58,Male,Blouse,Clothing,58,Maine,M,Yellow,Winter,4.1,No,Debit Card,Free Shipping,Yes,Yes,38,Venmo,Weekly
1412,48,Male,Skirt,Clothing,24,Louisiana,L,Green,Summer,2.8,No,PayPal,Store Pickup,Yes,Yes,13,Venmo,Quarterly
1413,25,Male,Shorts,Clothing,100,Michigan,M,Charcoal,Summer,2.6,No,Debit Card,2-Day Shipping,Yes,Yes,43,Venmo,Annually
1414,51,Male,Blouse,Clothing,79,New Hampshire,S,Indigo,Fall,2.7,No,Venmo,Store Pickup,Yes,Yes,12,Bank Transfer,Quarterly
1418,62,Male,Shorts,Clothing,25,Montana,S,Brown,Spring,4.6,No,Cash,Standard,Yes,Yes,21,Debit Card,Fortnightly
1419,18,Male,Shirt,Clothing,75,Alabama,M,Violet,Summer,4.1,No,Bank Transfer,2-Day Shipping,Yes,Yes,23,Venmo,Every 3 Months
1421,22,Male,Jeans,Clothing,53,California,XL,Gray,Summer,4.6,No,Cash,Store Pickup,Yes,Yes,45,PayPal,Every 3 Months
1425,66,Male,Jacket,Outerwear,23,Connecticut,S,Indigo,Fall,3.5,No,Cash,Standard,Yes,Yes,34,Bank Transfer,Every 3 Months
1427,60,Male,Pants,Clothing,38,Michigan,M,Yellow,Summer,4.8,No,Credit Card,Free Shipping,Yes,Yes,35,PayPal,Every 3 Months
1429,20,Male,Blouse,Clothing,97,North Dakota,S,Green,Summer,4.9,No,Debit Card,Express,Yes,Yes,42,PayPal,Quarterly
1430,24,Male,Skirt,Clothing,38,Maryland,L,Gold,Fall,4.7,No,Venmo,Standard,Yes,Yes,6,Credit Card,Every 3 Months
1432,39,Male,Pants,Clothing,88,South Dakota,M,Cyan,Fall,2.9,No,Bank Transfer,Express,Yes,Yes,29,Venmo,Quarterly
1434,70,Male,Hoodie,Clothing,60,Minnesota,L,Yellow,Winter,3.2,No,Venmo,Next Day Air,Yes,Yes,45,Debit Card,Weekly
1435,59,Male,Sweater,Clothing,64,New York,L,Maroon,Summer,4.6,No,PayPal,Free Shipping,Yes,Yes,21,Debit Card,Bi-Weekly
1442,34,Male,Pants,Clothing,25,Nebraska,S,Turquoise,Summer,3.4,No,Debit Card,Free Shipping,Yes,Yes,3,Venmo,Every 3 Months
1443,53,Male,Hoodie,Clothing,92,Idaho,S,Violet,Spring,2.8,No,Cash,2-Day Shipping,Yes,Yes,42,Credit Card,Annually
1445,32,Male,Sweater,Clothing,36,Vermont,L,Pink,Fall,3.8,No,Venmo,Express,Yes,Yes,26,Cash,Quarterly
1447,63,Male,Jeans,Clothing,35,Wyoming,XL,Red,Summer,3.2,No,Debit Card,Express,Yes,Yes,6,Credit Card,Quarterly
